time,density,gyrate,hbnum,hbond,kinetic_energy,potential,pressure,rmsd,rmsf,sasa,temperature,total_energy
380,1021.5397461999999,1.54564,123.0,123.0,81126.5390626,-475251.09375,-28.724217999999997,4e-07,0.193325,88.351,299.8457338,-394124.55625
390,1020.1206788,1.543425,127.0,127.0,81272.628125,-475024.525,-47.3685404,4e-07,0.193325,87.059,300.3856812,-393751.89375
400,1020.980652,1.533393,117.0,117.0,80987.7765626,-474970.59375,5.079398199999999,4e-07,0.193325,85.791,299.332843,-393982.8125
410,1019.0656862,1.551999,120.0,120.0,81479.5703126,-474674.35625,122.69023059999999,4e-07,0.193325,87.267,301.150537,-393194.7875
420,1021.7601682000001,1.541346,114.0,114.0,81460.7671874,-474867.975,94.182294,4e-07,0.193325,84.916,301.08104860000003,-393407.20625
430,1023.1576418000001,1.548387,124.0,124.0,80926.6484374,-475729.95625,83.2935166,4e-07,0.193325,89.199,299.10692140000003,-394803.3125
440,1021.1309084000001,1.550317,125.0,125.0,81071.5625,-475459.9375,-61.4169178,4e-07,0.193325,88.238,299.6425292,-394388.36875
450,1022.1558474000001,1.5473,121.0,121.0,81467.6765626,-474806.825,3.814733600000005,4e-07,0.193325,87.665,301.1065794,-393339.15
460,1022.141699,1.547326,111.0,111.0,80672.1671876,-474609.35625,-88.469932,4e-07,0.193325,88.922,298.1663636,-393937.1875
470,1023.631372,1.549791,120.0,120.0,80806.1140624,-475396.1,-89.9278206,4e-07,0.193325,89.474,298.6614258,-394589.99375
480,1022.3106445999999,1.555887,115.0,115.0,81324.28750020001,-475138.30625,-15.726031999999998,4e-07,0.193325,88.494,300.5766236,-393814.01875
490,1018.2992308,1.564249,119.0,119.0,81410.4234378,-474861.0875,-97.69928340000001,4e-07,0.193325,89.484,300.894971,-393450.65625
500,1022.9150265999999,1.561415,120.0,120.0,81056.4984376,-475502.8625,16.5916932,4e-07,0.193325,89.847,299.5868468,-394446.3625
510,1023.3753054000001,1.56188,118.0,118.0,81204.3703126,-475626.825,-10.247907599999996,4e-07,0.193325,88.645,300.13341679999996,-394422.45625
520,1023.2025268000001,1.558971,118.0,118.0,81247.359375,-475834.23125,22.4258022,4e-07,0.193325,89.005,300.2923034,-394586.86875
530,1023.1709472,1.560531,117.0,117.0,81132.0328126,-475603.025,25.801443799999998,4e-07,0.193325,89.876,299.86603379999997,-394470.99375
540,1022.9339480000001,1.559985,121.0,121.0,81448.0624998,-475480.48125,19.713753200000003,4e-07,0.193325,88.996,301.034082,-394032.41875
550,1019.7637694000001,1.547632,119.0,119.0,80946.21249979999,-474573.3,-52.08704620000001,4e-07,0.193325,87.486,299.179242,-393627.08125
560,1021.594702,1.551978,119.0,119.0,81510.8578126,-474535.36875,-84.95746399999999,4e-07,0.193325,88.773,301.26619900000003,-393024.5125
570,1022.7373170000001,1.55223,120.0,120.0,81724.2671874,-474982.7,-111.4441608,4e-07,0.193325,88.982,302.05493160000003,-393258.4375
580,1020.8926146,1.550059,128.0,128.0,81479.4421874,-474522.21875,101.6604422,4e-07,0.193325,89.803,301.1500608,-393042.775
590,1022.2863404,1.555002,125.0,125.0,80927.5484376,-474661.80625,30.1454842,4e-07,0.193325,87.615,299.1102478,-393734.25625
600,1021.4832274,1.562434,121.0,121.0,81182.6921876,-475997.66875,26.086335399999996,4e-07,0.193325,88.304,300.05325320000003,-394814.975
610,1021.8419066,1.558889,115.0,115.0,81098.259375,-475229.71875,-207.865119,4e-07,0.193325,88.906,299.7411988,-394131.45
620,1021.5740724,1.555227,117.0,117.0,81222.4921874,-475163.36875,-20.011196400000003,4e-07,0.193325,87.923,300.2003664,-393940.875
630,1021.5801267999999,1.548928,120.0,120.0,81237.7453128,-475212.19375,-22.3095368,4e-07,0.193325,88.074,300.2567444,-393974.44375
640,1022.8822752,1.562881,128.0,128.0,81155.0296876,-475230.375,-81.0804084,4e-07,0.193325,88.215,299.9510376,-394075.35
650,1019.5927244000001,1.564195,102.0,102.0,80873.4171874,-474835.4,-25.085100399999998,4e-07,0.193325,88.924,298.9101928,-393961.9875
660,1022.0071046,1.559203,116.0,116.0,81004.25937479999,-475828.7625,69.0646972,4e-07,0.193325,88.532,299.3937744,-394824.5125
670,1022.7150146,1.561641,127.0,127.0,81328.0953124,-475077.88125,92.335037,4e-07,0.193325,90.236,300.59069220000003,-393749.7875
680,1024.0005859999999,1.556795,124.0,124.0,81365.203125,-475130.4625,-77.2873582,4e-07,0.193325,88.759,300.727832,-393765.25625
690,1021.7666505999999,1.55189,113.0,113.0,81056.925,-475794.8375,30.8952114,4e-07,0.193325,88.047,299.5884216,-394737.9125
700,1020.7657104,1.551039,114.0,114.0,81103.0656252,-474683.41875,-54.0935058,4e-07,0.193325,88.015,299.75896620000003,-393580.35
710,1021.8581666,1.559128,120.0,120.0,81421.9312502,-474627.64375,127.61329699999999,4e-07,0.193325,89.534,300.9375122,-393205.70625
720,1021.009961,1.55211,114.0,114.0,81226.215625,-474634.91875,-8.6660874,4e-07,0.193325,87.173,300.214148,-393408.7
730,1022.0746948,1.54741,128.0,128.0,81176.5046876,-474818.875,137.49057,4e-07,0.193325,86.774,300.0303834,-393642.3625
740,1019.6809203999999,1.548392,127.0,127.0,81109.8421876,-474612.4125,-68.970711,4e-07,0.193325,87.376,299.7840148,-393502.5625
750,1021.1101928,1.549282,124.0,124.0,81144.0156252,-475046.8625,-28.9095164,4e-07,0.193325,85.011,299.9103208,-393902.84375
760,1023.4563232,1.543189,127.0,127.0,80933.4906248,-475155.38125,-15.897622799999999,4e-07,0.193325,85.372,299.1322084,-394221.89375
770,1020.0283568000001,1.541829,125.0,125.0,81087.94375,-474693.525,25.8187722,4e-07,0.193325,84.353,299.7030944,-393605.5875
780,1020.515979,1.55463,118.0,118.0,81041.3,-475288.24375,-44.905659,4e-07,0.193325,86.488,299.53068240000005,-394246.95
790,1021.4757692,1.546,116.0,116.0,81099.6828126,-475225.18125,0.9143420000000049,4e-07,0.193325,86.596,299.74647219999997,-394125.5
800,1023.584497,1.556343,118.0,118.0,81257.52187520001,-475205.8625,129.2365992,4e-07,0.193325,86.036,300.32984619999996,-393948.3375
810,1023.3698609999999,1.548486,120.0,120.0,81519.5828126,-474911.81875,103.62401059999999,4e-07,0.193325,85.772,301.2984436,-393392.2375
820,1021.7039428,1.547255,119.0,119.0,81005.3468752,-475124.15,-52.156285600000004,4e-07,0.193325,84.736,299.3977908,-394118.80625
830,1022.9832888000001,1.547356,115.0,115.0,81158.6375,-474836.41875,-2.9850040000000027,4e-07,0.193325,86.121,299.9643676,-393677.78125
840,1023.315149,1.540948,122.0,122.0,81432.178125,-474481.8125,72.4234082,4e-07,0.193325,85.539,300.97537819999997,-393049.63125
850,1021.7919922000001,1.547129,124.0,124.0,81225.9171876,-474727.825,-65.3594488,4e-07,0.193325,86.499,300.2130496,-393501.9125
860,1022.032434,1.549967,114.0,114.0,81187.9375002,-475475.58125,41.27606960000001,4e-07,0.193325,87.472,300.07264399999997,-394287.6375
870,1022.7365722000001,1.541339,124.0,124.0,80951.109375,-475526.775,-68.2911572,4e-07,0.193325,87.947,299.1973634,-394575.66875
880,1022.4735352,1.546397,117.0,117.0,81267.6828126,-475157.95625,-58.025223200000006,4e-07,0.193325,87.017,300.3673948,-393890.2625
890,1020.4303588,1.544122,124.0,124.0,81199.8484376,-475295.35,-135.86274,4e-07,0.193325,85.482,300.116687,-394095.5
900,1020.7719238,1.544223,119.0,119.0,80895.5906248,-475364.5625,-118.0304016,4e-07,0.193325,85.972,298.9921386,-394468.975
910,1021.1323606,1.544017,116.0,116.0,81375.0265624,-475111.8375,-57.73625919999999,4e-07,0.193325,86.59,300.764154,-393736.80625
920,1021.1161378,1.538662,121.0,121.0,81720.8656248,-475151.13125,87.3622086,4e-07,0.193325,86.612,302.042383,-393430.275
930,1019.715503,1.539398,133.0,133.0,80872.0765622,-474881.43125,-59.192479000000006,4e-07,0.193325,88.065,298.90523659999997,-394009.35625
940,1020.1495974,1.544553,125.0,125.0,80903.30624979999,-474557.60625,34.7923914,4e-07,0.193325,85.333,299.02066060000004,-393654.30625
950,1022.8487916,1.549658,122.0,122.0,81290.459375,-474874.3,-64.4043816,4e-07,0.193325,86.884,300.4515626,-393583.84375
960,1020.960254,1.55308,122.0,122.0,81130.703125,-475133.025,66.1932054,4e-07,0.193325,87.456,299.8611024,-394002.31875
970,1021.4783326,1.543959,114.0,114.0,80942.65781219999,-475333.2125,43.837619000000004,4e-07,0.193325,86.583,299.1661134,-394390.5625
980,1022.6881713999999,1.550981,115.0,115.0,81283.4640624,-474596.325,71.2015722,4e-07,0.193325,85.886,300.425726,-393312.8625
990,1022.4004517999999,1.548005,123.0,123.0,80740.5390628,-475113.36875,32.1550026,4e-07,0.193325,88.19,298.41906140000003,-394372.825
1000,1020.6820676,1.542387,118.0,118.0,81120.9859376,-475486.89375,-71.4921622,4e-07,0.193325,86.436,299.8252196,-394365.90625
1010,1024.0282472,1.546771,109.0,109.0,81176.5859376,-475200.05,16.321663,4e-07,0.193325,86.117,300.0307068,-394023.4625
1020,1021.4285402000002,1.54732,120.0,120.0,81280.3734376,-475041.3125,5.2066439999999945,4e-07,0.193325,83.935,300.4143128,-393760.9375
1030,1022.4772581999999,1.554012,101.0,101.0,81429.3093748,-474711.23125,27.84046939999999,4e-07,0.193325,85.743,300.9647704,-393281.925
1040,1022.3777222000001,1.549619,125.0,125.0,81021.6078126,-475612.20625,157.83613739999998,4e-07,0.193325,85.045,299.457904,-394590.6
1050,1019.3585206,1.548059,122.0,122.0,81227.3546876,-475055.45,19.26266039999999,4e-07,0.193325,85.783,300.21834079999996,-393828.09375
1060,1022.4605468,1.544591,118.0,118.0,80983.3281252,-475335.45,-55.0571832,4e-07,0.193325,87.509,299.3164308,-394352.1125
1070,1019.533435,1.540117,110.0,110.0,80957.096875,-473981.70625,-110.44037499999999,4e-07,0.193325,85.863,299.219458,-393024.60625
1080,1020.6315066,1.543668,127.0,127.0,80835.86874979999,-475237.40625,68.4214422,4e-07,0.193325,85.445,298.771405,-394401.5375
1090,1020.6013552000001,1.534078,133.0,133.0,81025.7078126,-475107.96875,16.247451599999998,4e-07,0.193325,85.16,299.473041,-394082.2625
1100,1024.337976,1.55199,122.0,122.0,81176.5515626,-475960.70625,276.763832,4e-07,0.193325,86.549,300.0305724,-394784.15
1110,1022.0581054,1.54352,125.0,125.0,81069.1453124,-475041.28125,33.50822519999999,4e-07,0.193325,85.153,299.6335938,-393972.13125
1120,1022.4467408,1.543872,120.0,120.0,81169.5999998,-475154.71875,-166.1055404,4e-07,0.193325,85.78,300.0048888,-393985.11875
1130,1022.1677980000001,1.5514,126.0,126.0,81294.3171874,-475328.4125,16.3072668,4e-07,0.193325,86.077,300.4658266,-394034.09375
1140,1023.0324096,1.553236,122.0,122.0,80909.6609374,-474980.3375,114.7741778,4e-07,0.193325,86.858,299.0441712,-394070.68125
1150,1022.3785768,1.550227,122.0,122.0,80764.94687479999,-475437.1375,-5.372986800000001,4e-07,0.193325,86.468,298.50925900000004,-394672.1875
1160,1022.1628542000001,1.545674,121.0,121.0,81065.0734374,-474688.35625,-19.321347000000003,4e-07,0.193325,85.169,299.61854860000005,-393623.2875
1170,1021.1289794,1.547777,128.0,128.0,81105.4796876,-475313.3875,-68.72392479999999,4e-07,0.193325,86.318,299.7678892,-394207.90625
1180,1022.0141970000001,1.542773,121.0,121.0,81331.54062479999,-474658.85,-3.1935045999999945,4e-07,0.193325,86.271,300.603424,-393327.3125
1190,1020.9690918,1.552542,118.0,118.0,81272.32187479999,-475769.34375,38.221028399999994,4e-07,0.193325,88.103,300.384546,-394497.025
